,youtube_id,comment,like_num
0,푸메Fume,"안녕하세요 푸메라니안 여러분🙇🏻‍♀️ 오늘은 마라수혈 🔥 근래 정말 많이 요청주신 마라탕에 꿔바로우 들고왔어요! 마라탕요청은 꾸준히 있는 것 같아요 (얼마나 감사한지요….) 저 진짜진짜 마라탕 먹고싶었는데 여러분들이랑 텔레파시가 통한 것 같아서 너무 기뻐요… 너무 자주먹으면 안좋아하실까봐 방송외에 먹고는 했는데 한참전에 먹고 못먹어서 마라탕 노래를 부르고 다녔거든요.. 여튼 그래서 정말 행복했던 시간이었어요 🥰 소고기는 한우로 한가득 사서 넣었고, 마라소스도 (많이 물어보셔서, 하이디라오 제품입니다) 이번에 왕창 넣었어요! 야채랑 3가지 어묵&피쉬볼 그리고 면도 5종류(도삭면, 용수당면, 녹두당면, 분모자당면, 옥수수면) 나 넣었어요! 하.. 마라탕은 정말 재료를 다양하게 넣을수록 맛있는 것 같아요! 특히 이번엔 마라가 그리웠던 만큼 마라소스를 와장창 부어서 먹었더니 만족 2000%입니다.. 고기맛 + 마라맛이 굉장히 진했고요, 국물이 재료들에 잘 배어있어서 뜨거워도 호도도 아니 메도도 하면서 먹었어요! (뜨거운 음식을 잘 못먹지만 뜨거울 때 먹어야 맛있다는 신념) 비엔나 소세지도 오동통…. 바삭하면서도 쫀득한 꿔바로우도 JMT이었고요, 마라탕 먹느라 정신팔려서 못먹을 뻔 했던 땅콩소스도 찍어먹으니 너무 맛있었어요! 고수 싫어하는 분들이 많으셔서 한참뒤에 넣어서 먹었는데 역시 고수추가만으로 또 다른 맛을 느낄 수 있어요..❤️ 코박고 먹었던 행복했던 시간이었답니다.. 마라샹궈도 먹고싶은데 눈치 보다가 가져오도록 하겠습…. 🤭 헤헤.. 오늘도 시청해주셔서 감사합니다! 🙋🏻‍♀️

❤️ My Instagram : http://instagram.com/fume_yamyam
🐶Sleepy White Fox's Instagram: http://instagram.com/mozziiya

Hi, guys! Today’s menu is Spicy Hot Pot(MalaTang) with Sweet and Sour Pork! Today, I made Spicy Hot Pot with five kinds of noodles, three kinds of fish balls, a variety of vegetables, and fresh beef! These days, Hot Pot(Malatang) is really popular in Korea, and I really like it, too! I put lots of spicy sauce and spicy peppers! I was really delighted since I had missed it so much! The soup had really deep flavor because of enough beef and different kinds of ingredients! All of the ingredients were well saturated with the soup, which made the meal amazing! I cut dried tofu lengthways and ate it with other noodles, so the biting texture was so good! I felt as if I was in heaven when I ate it with sweet peanut sauce and crispy sweet and sour pork (There is glutinous rice inside the sweet and sour pork!) The deep and spicy soup relieved all of my stress! And, I really like Coriander! After putting lots of coriander in the last moment, I could taste something different! Thank you for watching my video today! Hope you enjoyed watching it!

Hai kawan! Menu hari ini adalah hidangan Hot Pot pedas (MalaTang) dengan daging babi manis dan asam! Hari ini, saya membuat hot pot pedas dengan lima jenis mie, tiga jenis bola ikan, berbagai sayuran, dan daging sapi segar! Belakangan ini, hot pot pedas sangat populer di Korea, dan saya juga sangat menyukainya! Saya menaruh banyak saus pedas dan paprika pedas! Saya sangat senang makan karena saya sangat menginginkannya! Sup memiliki rasa yang sangat dalam karena daging sapi yang cukup dan berbagai jenis bahan! Saya memotong tahu kering dan memakannya dengan mie lain, jadi teksturnya sangat enak! Saya merasa seolah-olah berada di surga ketika saya memakannya dengan saus kacang manis dan daging babi asam dan renyah (Ada nasi ketan di dalam daging babi asam dan asam!) Sup yang dalam dan pedas menghilangkan semua stres saya! Dan, saya sangat suka ketumbar! Setelah meletakkan banyak ketumbar di saat terakhir, saya bisa merasakan sesuatu yang berbeda! Terima kasih telah menonton video saya hari ini! Saya harap Anda menikmati menontonnya!

Chào các cậu! Thực đơn hôm nay là món Lẩu cay (MalaTang) với thịt lợn chua ngọt! Hôm nay, tôi đã làm món lẩu cay với năm loại mì, ba loại chả cá, nhiều loại rau và thịt bò tươi! Ngày nay, lẩu cay rất phổ biến ở Hàn Quốc, và tôi cũng rất thích nó! Tôi cho nhiều nước sốt cay và ớt cay! Tôi thực sự rất vui khi được ăn vì tôi thực sự muốn nó rất nhiều! Súp có hương vị thực sự sâu sắc vì đủ thịt bò và các loại nguyên liệu khác nhau! Tôi cắt chiều dài đậu phụ khô và ăn nó với các loại mì khác, vì vậy kết cấu rất tốt! Tôi cảm thấy như đang ở trên thiên đường khi tôi ăn nó với nước sốt đậu phộng ngọt và thịt lợn chua ngọt giòn (Có gạo nếp bên trong thịt lợn chua ngọt!) Súp sâu và cay làm giảm mọi căng thẳng của tôi! Và, tôi thực sự thích rau mùi! Sau khi đặt nhiều rau mùi vào giây phút cuối cùng, tôi có thể nếm thứ gì đó khác biệt! Cảm ơn bạn đã xem video của tôi ngày hôm nay! Tôi hy vọng bạn thích xem nó!

हाय दोस्तों! आज का मेनू मीठे और खट्टे पोर्क के साथ मसालेदार हॉट पॉट डिश (मालाटांग) है! आज, मैंने पांच प्रकार के नूडल्स, तीन प्रकार की मछली की गेंद, विभिन्न प्रकार की सब्जियां, और ताजा गोमांस के साथ मसालेदार गर्म बर्तन बनाया! इन दिनों, कोरिया में मसालेदार गर्म पॉट वास्तव में लोकप्रिय है, और मुझे यह बहुत पसंद है! मैंने बहुत सारी मसालेदार चटनी और मसालेदार मिर्च डाले! मैं वास्तव में खाने के लिए बहुत खुश था क्योंकि मैं वास्तव में इसे बहुत चाहता था! पर्याप्त गोमांस और विभिन्न प्रकार के सामग्रियों के कारण सूप में वास्तव में गहरा स्वाद था! मैंने सूखे टोफू लंबाई को काट दिया और इसे अन्य नूडल्स के साथ खाया, इसलिए बनावट इतनी अच्छी थी! मुझे लगा जैसे मैं स्वर्ग में था जब मैंने इसे मीठे मूंगफली की चटनी और खस्ता मीठे और खट्टे पोर्क के साथ खाया था (मिठाई और खट्टे पोर्क के अंदर चिपचिपा चावल है!) गहरे और मसालेदार सूप ने मेरे सारे तनाव को दूर कर दिया। और, मुझे वास्तव में धनिया पसंद है! बहुत सारे धनिया को अंतिम क्षण में डालने के बाद, मैं कुछ अलग स्वाद ले सकता था! आज का मेरा वीडियो देखने के लिए धन्यवाद! मुझे आशा है कि आपने इसे देखने का आनंद लिया है!",276개
1,SaniBudha,I wish to stay with you for a whole day because you are so preety,25개
2,LeticiaChundinata,"Let me guess.. 
Ur laying in bed
Ur hungry
Ur scrolling through the comments
U see my comment
Am I right?",102개
3,FeliciaX,"I was just craving for mala hotpot and you posted this TT
im so hungry  now TT",8개
4,FOODisHAPPINESSbyRio,Love love hot pot!! It’s raining so it’s perfect for his kinda weather.. yummmy . Thanks for the love & support! Be safe ❤️,8개
5,ChitwanBhushanDubey,Finally me and fume eating together !! Meaning “ im eating while watching her 🤪” loveeeee fumeeeeee from india ❤️❤️❤️,16개
6,AriannaCaderao,"***FUME UPLOADS***



Me: Oh sh here we go again, torturing myself!🤧😂",3개
7,Naila1616,"Hi fume.. 💚
Salam From Indonesian.. 💖🇮🇩
~Naila🧚‍♀",7개
8,JusangASMR주상전하,1:30 Start eating♥,5개
9,태태,"⭐ 푸메님 관전 포인트 ⭐
1. 거의 대부분 초반에 음식 직접 만들어 드심. 정성이 지극해서 좋음.
2. 매일 졸고 있는 댕댕이... 눈매가 너무 사랑스러움.
3. 말하시면서 음식에 대한 사랑이 느껴지심.",86개
