,youtube_id,comment,like_num
0,클로마스터,"양팀이
-수비 잘하면 무실점 
-공격 잘하면 점수가 많이 나오고
-미드 잘하면 경기가 원할하고
-골키퍼가 잘하면 흥미진지하고
-감독이 잘하면 게임 이기고",49개
1,WKJ,그냥 모든 대화가 메시하나로 다 반박 가능하네 ㅋㅋㅋㅋㅋ,27개
2,하세요안녕,제목부터 재미있을거 같아서 보러 왔어요^^❤️,9개
3,RicharisonKRPUBG,"와 람꾸 진짜 오랜만입니다 안녕하세욬ㅋㅋㅋㅋㅋ
 그래도 수비가 중요하다고 느끼네요 리버풀 수비력도 좋고요 ㅎㅎㅎ
but 토트넘 수비는 많이아쉬워요ㅠㅠㅠ 수비잘하묜 다 조아요 전 😂😂",30개
4,풀망,"13등
석꾸 5만명만 더 하면 50만명!",2개
5,아아아,진짜싸우는줄알았어요 ㅠ,1개
6,경고등,"안 중요한 포지션은 없다.
11명의 선수와 1명의 감독이 골을 만들어내고 11명의 선수와 1명의 감독이 팀을 이기게 만든다",1개
7,김지후,아니 바르샤는 주심-주심-심판 라인이 더 중요함 ㅋㅋㅋㅋㅋ,2개
8,코디돌이,미드필더지~~~,30개
9,니얼굴목도리,형 배그 영상 올려주세요ㅎㅎ,3개
10,서준우,제일 중요한 포지션: TV(축구) 볼 자리.,10개
11,김김지성,"저는 이중에서는 예외지만 
수비가 가장 중요하다고 생각해여
사실 수비수가 뒤에서 조율도 해주고 받쳐주거든여",1개
12,tvmore,3:42 허리캐인ㅋㅋ 기분 나빴으면  죄송해요,1개
13,김지환,석꾸님~~!같이 배그하는 콘텐츠 만들어주세요~~!,1개
14,게임하는남자,해설하는사람이욬ㅋㅋ,13개
15,,그냥 축구는 모두 포지션이 중요!!!,3개
16,민돌,석꾸짱,15개
17,우상상,제일 중요한 역할:감독,4개
18,이승재,"1:27이래서 기성용,이강인이 있고
없고의 차이다",31개
19,TV텔리,썸네일 보고 깜짝 놀랐네요...ㅋㅋㅋㅋ,5개
20,NeymarJr,관중이 중요하다 왜냐하면 응원을 열정적으로 하게 되면 분위기는 응원 팀으로 무조건 넘어가기 때문이다,1개
21,주윤찬,"골대랑라인이 중요한것 같습니다!
골대:승부를 지을려면 있었야함!
라인:없으면 동네축구.난장판이됨
골라인은 골이 들어갔는지 판정하기
위해있어야함!",1개
22,명언충7년전,골키퍼지~~골넣는 골키퍼 골키퍼도 골을 넣을수 있다이말이야~,1개
23,게임하는남자,석꾸님 코로나끝나면 꼭시청자분들과 축구대결해요!,1개
24,이다윗,"이런 축구토론 컨텐츠 정말 좋아요~!!^^
람꾸님도 오랜만이구요 ㅎㅎ😁",2개
25,김규민,이거 보고 선수들의 특징은 잘 알 수 있었네요!,2개
26,VIIIKLPM찬호,근데 미드필더가 중요 한데 람꾸님 말도 맞음 ㅋㅋㅋ,2개
27,pi,한국축구랑 손흥민땜에 토트넘 많이보니까 수비수가 제일 중요한것같습니다.........,26개
28,김우민,관중이 제일 중요하죠 관중이 응원을 해줫을때가 실력을 제일 발휘하기 좋은것 같아요 ㅎㅎ,13개
29,문서준,"수비  공격이잘헤도 수비가못하면질수  잇고
수비가잘하면 그레도  무승부",1개
30,김원우,오랜만에보는람꾸다~~~~~와아아아ㅏ아,4개
31,우랑,일찍 찍었네요^^,3개
32,전기야힘내,"만약에 우리팀에 공격 잘하는 선수, 미드필드 잘하는 선수, 둘중에 한명만 고를 수 있다면 저는 미드필더를 선택 할 거 같네요ㅋㅋ",0개
33,JaewonShin,"벤치 플레이어 요.
왜냐면 잘 기다리고 응원해 줘야 합니다",1개
34,치킨형빈,"저는 수비
반다이크.라모스.랑글레.",1개
35,루피,람꾸 진짜 오랜만이네요,2개
36,오연우,두 친구는 천성 자체가 선해 보여서 좋아요,1개
37,ksh307801,오늘의 결론 사실 이 모든 내용을 다 막는건 수비수기 때문에 수비수가 중요하다,1개
38,DAVYDRAG,람꾸님 동글동글 귀여워 지셨어 ㅋㅋㅋㅋㅋ 너무 귀여우세요ㅎㅎ,0개
39,uNulls,바로왔닼ㅋㅋㅋㅋ,1개
40,옥수수,"와 진짜
썸네일 무엇.....
ㅋㅋㅋㅋㅋㅋㅋ",0개
41,인용건,"수비수
빌드업은 수비수부터 시작하니까",1개
42,호구,감독 감독은 포지션 전술 등등를 알려줍니다,1개
43,김Donghwan,"경기조율, 킬패스, 공수전환, 수비가담 등
미드필더의 역할이 제일 중요하다고 생각합니다.",1개
44,하선자,미드필더가 더 중요함 왜냐하면 미드는 공경혁 수비형도 미드가 축구장에서 눈에 잘 뛰기 때문ㅋㅋㅋㅋㅋㅋ,1개
45,디더,전 둘다 중요하다 생각해여!,1개
46,임근육,제 생각은 감독-전술-골퍼-수비-미드-공격 순인듯 합니다,1개
47,김준상,일찍 왔다~!!!,1개
48,김준규,오오 이렇게 일찍온거 첨,1개
49,최지원,"미드필더는 센스,시야, 패스, 키핑, 공격능력, 수비능력, 볼소유등등에 모든 능력들을 갖추고 있어야하고
 미드필더가 없으면 공격전개도 않되고 수비도 불안정 해지니까 미드필더가 가장중요하긴 한것 같아요",1개
50,음그러니까,구단주가 잘해야되요,2개
51,영희최,ㅆㅇㄷ,2개
52,히이신,석꾸축구ㅇㅈ,1개
53,김유진,석꾸님 이제 영상도 올리시고 정말 감사합니다!!,1개
54,Tv게임,공격수여,2개
55,마이유튜브,"오랜만에 온다
 .석꾸님 죄송합니당!이제 꼬박꼬박 챙겨보겠습니당~~~^^",1개
56,민혀기,제일 안궁금한 두 커플 넘 우엗,1개
57,윤지우,앜 썸내일 보고 들어완든 대  ㅠ,1개
58,이쒸닉넴바꾸래서바꿧다,미드필더없으면 대체 경기를 어케 풀어?ㅋㅋ,1개
59,얼쬬,공격 1표~,1개
60,MrChae,1:11 미드필더 세워도 개인기로 다 제끼고 패스 겁나 잘 찔러 줄 거 같은데,0개
61,주영이의게임일상먹방채널,이제 람꾸도 축구에 점점 알아가는중.....,1개
62,아마도살아있는생물체,"축구에서 젤 중요한건  축구공이죠
축구공 없으면 미드필더니 공격수니 경기를 못함 ㅋㅋㅋ",1개
63,류영일,일찍쓰~,1개
64,짐니바라기,오!? 석꾸닷!!!!!!!!!!!!!!!,2개
65,김용구,중요포지션:감독-공격-골키-미드-수비,1개
66,블랙TV,석꾸님 의견이 이해가 감,1개
67,민호유튜브,실제로 디펜시브 포워드라고 현대축구에선 수비형 공격수가 있어요.,1개
68,신마적,무조건 메시 ㅋㅋ 람꾸님 오랜만,1개
69,김무진,다중요해요ㅠㅠ,3개
70,지록위마,그로고 공격수가 백골을 넣어도 골키퍼가 못막으면 백한골이 먹힐수도 있잫아요.,1개
71,날강두보다갓강두,와 제목만 보고 개깜놀 헤어지는줄,1개
72,유채운,공이 가장 중요해요ㅋㅋㅋㅋ,0개
73,서경석,미드필더요 왜냐하면 미드필더가 패스를 잘 줘야지 공격수가 골을 넣을 수 있기 때문입니다,1개
74,유찬희,진짜로 싸우는줄알았어요ㅋㅋ,3개
75,서민재,공이제일 중요합니다 ㅋㅋ,1개
76,장진혁,다 중요하지만 팬들의 응원도 중요함,1개
77,이준범,그리고 석꾸는 그렇다쳐 람꾸는 아무것도 모르는데 토론,1개
78,런닝맨팬,ㅋ재믺다,2개
79,쓰쓰리비,석꾸님 저는 골게터 여서 공격수 애 한표,4개
80,장나나나,갓직히 미필이 쫌더 중요함,1개
81,금관만든규민,공격수는 수비 안하고 공격만 하니까 공격수는 대부분 못넣는 사람이 많은데(메시만 가능) 미드필더는 수비랑 공격 같이 할수있고 물론 미드필더도 골 못넣을수도 있어요 근데 수비도 되니까 미드필더가 중요해요,1개
82,NGNGN,"뭐가 중요하냐는 의미가 없습니다
선수 명성으로가면
안되죠.
공격무너지면 골 못넣고
미들무너지면 공격이공 못잡고
수비무너지면 1대1뚫리고
키퍼무너지면 먹히고
감독무너지면:폭★팔 다무너진다★",1개
83,김현준,아...덕배ㅠㅠ,0개
84,비갈TV,바로  왔습니다 ~!!^^,5개
85,게임하는초딩겜남,미드필더가 가장중요하다!,1개
86,울프TV,0:34는 손흥민 이죠!,0개
87,물탱tv,석꾸님 앞으로 배그영상도 가끔씩 해주세요 그리고 전 미드필터가 더 좋다고 생각합니당~♡,1개
88,김겸,그 선수들을 응원해주는 팬들,1개
89,해피tv,이 와중  호날두는 말 안하는거 보소 ㅋㅋ,5개
90,파요앙,꿀잼,2개
91,삥뽕쿠쿠루,11명다 중요하죠~^^,1개
92,차하율,"미드필더가 중요해요
수비 공격 다할수 있으니깐요ㅎㅎ",1개
93,켜구,"나두 왔따
전에 제주도 네이마르에요!",1개
94,곰TV,전 전술이중요한거같습니다!ㅋㅋㅋ,3개
95,우정운,가장 중요한건 미드필더임 미드는 공격 수비 다해야함,1개
96,김영진,구경하는 시민들,2개
97,이지성,구단주의 재력이 중요,2개
98,최문정,미드필더는 공격 수비 모두 할 수 있는 포지션  입니다  그래서 미드필더가 더 중요 합니다.,21개
99,김지호,미드필더 3명 모드리치 데브라위너 캉테,1개
100,김정현,남자는 여자친구를 이길 수가 없어..,1개
101,DongminAndrewSun,와 썸네일 ㄷㄷㄷ,0개
102,이다윗,"물론 빼셨지만 전 골키퍼가 가장 중요하다고 생각합니다 ㅎㅎ 아무리 뛰어난 공격수나 미드필더가 세골 또는
네골을 몰아 넣어준다고 해도 골키퍼가 
네골먹혀버리면 끝이기 때문이죠 ㅋㅋㅋㅋㅋ^^",5개
103,노래하는더비,메시 공미일때도 인는데......,1개
104,축축축구구구,전다중요하다고생각해요ㅎㅎ,1개
105,최은호,람꾸님 오랜만에 나왔다!!!!!!!!!!,1개
106,임건우,석꾸가 중요하다!!!,1개
107,koreasoccer,항상 골키퍼는 어디서나 참밥신세죠(국가대표 제외,4개
108,불이,저구독해주실분아래구독눌러줘요캠훈구곡,1개
109,아기다람쥐,람꾸님 저 포디션이 미들필더여서 그런데 미들필더가 없으면 공격수도 없습니다,1개
110,이룽tv,미~드~필~더~~~!,1개
111,1깡1일,형님 오늘도 꿀잼입니더,1개
112,HaLeeDong,석꾸님 람꾸님 오랜만이에요~~~~ 영상 잘봤구요 저도 석꾸님 생각과 같아요 미드필더가 없으면 사람의 허리가 없는건데 미드필더가 볼배급을 잘해줘야 공격수들이 개인능력이나 실력을 발휘해서 골을 넣죠 ㅋㅋㅋㅋ 물론 수비도 탄탄해야되고 골기퍼도 중요하다고 생각합니다 저도 한때 축구를 해서 얼마나 재미있는지 알고있고요 지금은 농구로 전향해서 열심히 하고있습나다. 앞으로도 재미있는 영상 많이 올려주세요 ㅋㅋㅋ 석꾸축구 화이팅~~~~,3개
113,태냥이,"1분4초
손흥민번리전원더골ㅋㅋ
흥민이형은위대하닼ㅋ
물론메시도",0개
114,이윤정,제일 중요한건 골키퍼인데.......,1개
115,권지혁,골키퍼가1등이짘ㅋㅋㅋㅋㅋ,0개
116,Collegestudent,와 람꾸 너무 오랜만이당 영상마다 나와주세용,4개
117,오성재,ㅋㅋ,1개
118,파요앙,ㅋㅋ,1개
119,eonCureberTVL,공격수!,1개
120,양태환,미드필더가 있어야지 축구가 쉽다.,1개
121,토끼찡YOUTUBE,저는 미드필더라서 석꾸편,4개
122,괴물돼지,공격수가 제일중요한!,1개
123,충멍이KookJungWonTV,매수ㅋㅋㅋㅋ,0개
124,ShitBird,여친분 하고 보기 좋아요^^,1개
125,맥그리거,제목만보고 진짜 싸우는줄,0개
126,이한서,골키퍼죠~~왜냐면 선수들이 똥싸고 있어도 키퍼만 안먹히면 무승부라도 하니까요 ㅎㅎ,4개
127,킴쓰,람꾸 잘하네~~,1개
128,박준영,4:10초에 람꾸님 목소리 너무 귀여우세요.,1개
129,씨박새,진짜 그만싸워라ㅋㅋ,0개
130,지록위마,미드필더가 더 중요합니다.,1개
131,아기자기냥냥,석꾸 사랑해여,5개
132,ASVZR손,가장 위대한 미필 지단~~~,0개
133,강대모씨,둘다 ㄴㄴ 심판이 짱!!!,0개
134,유은상,"덕배, 토니크로스, 비달, 부스케츠, 데용, 캉테, 네드베드, 쁘띠, 모드리치 


미드필더 겁나 많은데요 ? ㅋㅋㅋㅋㅋㅋ",0개
135,07태경,썸내일보고 진짜싸우는줄 알았네^^,0개
136,에당아자르,0:50 ???:음..리오넬 메시?,4개
137,고재혁,미드필더중에서도 높은 득점력을 보여주는 선수가 많고 가운데서 경기도 잘 조율해주기 때문에 미드필더가 더 중요!!!,1개
138,MinJaeChoi,전 김병지입니다.,2개
139,축구하는adidas,"박지성선수도미드필던데 그럼박지성선수는않
위대함니까?",1개
140,게임축구,1:17  손흥민 원더골,0개
141,케크TVKAKTV,"람꾸:메시!,메시!!,메시!!!!!!!!!!!!!!!! 뭘하든 메시!!",5개
142,김지호,메시! 메시!,1개
143,KarimBenzema,미드필더면 좋아요 공격수면 댓글 아무거나,1개
144,짱구좋아하는짱구매니아,당연히 미필이지,2개
145,SometingLong,저 는 수비. 이유는 리버풀 보시면 답이 나옵니다:),0개
146,임피그피그,"솔직히 미드필더없으면 공격수골넣기힘들고
공격수없으면 미드필더 롱패스 찔러줄사람없음ㅇㅇ",4개
147,찻찻TV,미드필더 지~~,1개
148,hogukkim,다음 컨텐츠는 사랑과전쟁 편이죠??,1개
149,황승민,왔습니다,1개
150,오성게임,공격수!!!!!,1개
151,내구독자수일본망할확률,제일 중요한 포지션은 골키퍼다...,3개
152,pk링,심판이 중요하다 ㅋㅋㅋ,0개
153,이정헌,공격 투표~,0개
154,꾹tv승민,썸네일 보고 두분 헤어지신줄ㅋㅋ,2개
155,김현준,사람에 몸에서 꼬치가 가장 중요함,1개
156,오미정,석꾸축꾸  화이팅,5개
157,임현성10,공격이 없으면 수비만 하다사 먹히니깐 공격에 1표,1개
158,윤숙향,키퍼,1개
159,hogukkim,수비형 공격수 있음~ 이정협~,0개
